item,Entscheider,Empfänger,Bestrafung,Kosten,punish,% dictator,Overall payoff,punish random,up,severity_punish,severity_punish_up,costs_up
0,432,312,354,118,351,0.58,744,3,0,0.8125,0,0
0,449,415,415,138,415,0.52,864,0,0,0.924276169,0,0
0,480,480,292,97,287,0.5,960,5,0,0.597916667,0,1
1,343,305,268,89,268,0.53,648,0,0,0.781341108,0,1
2,324,324,315,105,317,0.5,648,-2,0,0.978395062,0,0
3,355,341,222,74,219,0.51,696,3,0,0.616901408,0,1
4,390,306,273,91,268,0.56,696,5,0,0.687179487,0,1
5,348,348,312,104,317,0.5,696,-5,0,0.91091954,0,0
6,372,372,216,72,219,0.5,744,-3,0,0.588709677,0,1
7,402,342,270,90,268,0.54,744,2,0,0.666666667,0,1
8,501,363,288,96,287,0.58,864,1,0,0.572854291,0,1
9,458,406,346,115,351,0.53,864,-5,0,0.766375546,0,0
10,432,432,417,139,415,0.5,864,2,0,0.960648148,0,0
11,502,410,292,97,287,0.55,912,5,0,0.571713147,0,1
12,483,429,349,116,351,0.53,912,-2,0,0.726708075,0,0
13,465,447,416,139,415,0.51,912,1,0,0.892473118,0,0
14,509,451,287,96,287,0.53,960,0,0,0.563850688,0,1
15,499,461,354,118,351,0.52,960,3,0,0.703406814,0,0
16,564,84,289,90,268,0.87,648,1,1,0.475177305,1,1
17,570,78,312,104,317,0.88,648,-5,1,0.556140351,0,0
18,647,49,367,73,219,0.93,696,0,1,0.338485317,1,1
19,515,181,266,89,268,0.74,696,-2,1,0.52038835,0,1
20,578,118,313,104,317,0.83,696,-4,1,0.548442907,0,0
21,670,74,408,74,219,0.9,744,2,1,0.326865672,1,1
22,662,82,412,91,268,0.89,744,4,1,0.404833837,1,1
23,683,181,352,95,287,0.79,864,-3,1,0.420204978,1,1
24,769,95,458,117,351,0.89,864,1,1,0.456436931,1,0
25,657,207,418,139,415,0.76,864,3,1,0.631659056,0,0
26,684,228,344,97,287,0.75,912,3,1,0.419590643,1,1
27,812,100,509,119,351,0.89,912,5,1,0.43226601,1,0
28,675,237,413,138,415,0.74,912,-2,1,0.614814815,0,0
29,883,77,462,97,287,0.92,960,4,1,0.325028313,1,1
30,787,173,398,118,351,0.82,960,2,1,0.445997459,1,0
,,,,,,,,,,,10,
